pergunta,resposta,categoria,dificuldade
O que é a regra do impedimento?,Um jogador está impedido se estiver mais próximo da linha de gol que a bola e o penúltimo adversário quando a bola é jogada.,posicionamento_taticas,medio
Explique: quando é marcada falta de mão?,Falta de mão é marcada quando um jogador toca intencionalmente a bola com a mão ou braço.,faltas_infracoes,medio
Pode jogar sem caneleira?,"Não, caneleira é equipamento obrigatório de proteção para todos os jogadores.",equipamentos_campo,facil
Como funciona o VAR?,"VAR (Video Assistant Referee) revisa lances de gol, pênalti, cartão vermelho direto e confusão de identidade.",regras_avancadas,dificil
Quais as dimensões oficiais do campo?,O campo deve ter entre 100-110m de comprimento e 64-75m de largura para jogos internacionais.,equipamentos_campo,facil
Explique: quando é expulsão direta?,"Expulsão direta ocorre por violência excessiva, cuspir, linguagem ofensiva ou impedir gol com a mão.",faltas_infracoes,medio
Como funciona o que é linha lateral?,"Linha lateral é a linha que delimita os lados mais longos do campo. Quando a bola sai, é cobrado lateral.",regras_basicas,facil
O que é cartão vermelho?,"Cartão vermelho resulta na expulsão imediata do jogador, que não pode ser substituído.",regras_basicas,facil
Me fala sobre: precisa avisar cobrança rápida?,"Não, cobranças rápidas são permitidas desde que a bola esteja no local correto.",regras_avancadas,dificil
Pode jogar sem caneleira?,"Não, caneleira é equipamento obrigatório de proteção para todos os jogadores.",equipamentos_campo,facil
Como funciona disputa de pênaltis?,"Cada time cobra 5 pênaltis alternadamente. Se empatar, continua alternado até desempate.",penaltis_finalizacoes,medio
Como funciona disputa de pênaltis?,"Cada time cobra 5 pênaltis alternadamente. Se empatar, continua alternado até desempate.",penaltis_finalizacoes,medio
Me explica: qual o tempo de duração de uma partida?,De acordo com as regras da FIFA: Uma partida oficial tem 90 minutos divididos em dois tempos de 45 minutos cada.,regras_basicas,facil
Pode trocar goleiro antes da disputa?,"Sim, se houver substituições disponíveis, pode trocar o goleiro antes da disputa começar.",penaltis_finalizacoes,medio
Explique: o que é falta por trás?,"Falta por trás ocorre quando um jogador atinge o adversário pelas costas, geralmente resultando em cartão.",faltas_infracoes,medio
Me fala sobre: como funciona o var?,"VAR (Video Assistant Referee) revisa lances de gol, pênalti, cartão vermelho direto e confusão de identidade.",regras_avancadas,dificil
Quanto tempo pode durar acréscimos?,"Não há limite fixo. O árbitro determina baseado em paradas, lesões e substituições.",regras_avancadas,dificil
Explique: o que é simulação?,"Simulação é fingir ter sofrido falta para enganar o árbitro, passível de cartão amarelo.",faltas_infracoes,medio
O que é vantagem?,Vantagem é quando o árbitro deixa o jogo seguir após falta porque o time prejudicado está em situação favorável.,regras_avancadas,dificil
E se um jogador se machuca e não há substituições?,O time continua com menos jogadores. Mínimo de 7 jogadores para continuar.,situacoes_especiais,medio
Pode trocar goleiro antes da disputa?,"Sim, se houver substituições disponíveis, pode trocar o goleiro antes da disputa começar.",penaltis_finalizacoes,medio
Pode haver gol direto de escanteio no futebol?,"De acordo com as regras da FIFA: Sim, é possível fazer gol diretamente de um escanteio.",regras_basicas,facil
Qual o tamanho da área de pênalti?,"A área de pênalti mede 40,32m de largura por 16,5m de profundidade.",equipamentos_campo,facil
Goleiro conta na linha de impedimento?,"Sim, geralmente o goleiro é o último defensor, então o penúltimo é um jogador de linha.",posicionamento_taticas,medio
O que acontece se o goleiro avançar no pênalti?,"Se o goleiro sair da linha antes do chute e defender, o pênalti deve ser repetido.",regras_avancadas,dificil
Quando é marcada falta de mão?,Falta de mão é marcada quando um jogador toca intencionalmente a bola com a mão ou braço.,faltas_infracoes,medio
Qual o tamanho da área de pênalti?,"A área de pênalti mede 40,32m de largura por 16,5m de profundidade.",equipamentos_campo,facil
O que é bola ao chão?,"Forma de reiniciar o jogo após interrupção sem falta, devolvida ao time que tinha posse.",situacoes_especiais,medio
Me fala sobre: pode desistir da vantagem?,"Sim, se após alguns segundos a vantagem não se concretiza, o árbitro pode voltar e marcar a falta.",regras_avancadas,dificil
Qual o tamanho da área de pênalti?,"A área de pênalti mede 40,32m de largura por 16,5m de profundidade.",equipamentos_campo,facil
Explique: o que é simulação?,"Simulação é fingir ter sofrido falta para enganar o árbitro, passível de cartão amarelo.",faltas_infracoes,medio
Quando é marcado pênalti?,Pênalti é marcado quando há uma falta dentro da área de pênalti que impede uma oportunidade clara de gol.,regras_basicas,facil
O que é bola ao chão?,"Forma de reiniciar o jogo após interrupção sem falta, devolvida ao time que tinha posse.",situacoes_especiais,medio
Me fala sobre: precisa avisar cobrança rápida?,"Não, cobranças rápidas são permitidas desde que a bola esteja no local correto.",regras_avancadas,dificil
Me explica: o que é tiro de meta?,Tiro de meta é cobrado pelo goleiro quando a bola sai pela linha de fundo tocada por um atacante.,regras_basicas,facil
O que é bola ao chão?,"Forma de reiniciar o jogo após interrupção sem falta, devolvida ao time que tinha posse.",situacoes_especiais,medio
Goleiro pode cobrar pênalti?,"Sim, goleiro pode cobrar pênalti tanto durante o jogo quanto na disputa.",penaltis_finalizacoes,medio
O que acontece se goleiro se machucar na disputa?,"Se não houver substituições disponíveis, um jogador de linha deve ir para o gol.",penaltis_finalizacoes,medio
Como funciona o goleiro pode usar as mãos fora da área?,"A regra estabelece que: Não, o goleiro só pode usar as mãos dentro de sua própria área de pênalti.",regras_basicas,facil
Qual a circunferência da bola?,A bola deve ter entre 68-70cm de circunferência e pesar 410-450g.,equipamentos_campo,facil
Capitão tem privilégios especiais?,Capitão pode dialogar com árbitro mas não tem autoridade para contestar decisões.,situacoes_especiais,medio
Goleiro pode cobrar pênalti?,"Sim, goleiro pode cobrar pênalti tanto durante o jogo quanto na disputa.",penaltis_finalizacoes,medio
Pode devolver bola para goleiro no reinício?,"Sim, na bola ao chão pode devolver para o goleiro adversário por fair play.",situacoes_especiais,medio
O que é recuo para o goleiro?,Goleiro não pode pegar com as mãos passe intencional com o pé de jogador do próprio time.,regras_avancadas,dificil
O que acontece se goleiro se machucar na disputa?,"Se não houver substituições disponíveis, um jogador de linha deve ir para o gol.",penaltis_finalizacoes,medio
Pode trocar goleiro antes da disputa?,"Sim, se houver substituições disponíveis, pode trocar o goleiro antes da disputa começar.",penaltis_finalizacoes,medio
O que acontece se goleiro se machucar na disputa?,"Se não houver substituições disponíveis, um jogador de linha deve ir para o gol.",penaltis_finalizacoes,medio
Goleiro conta na linha de impedimento?,"Sim, geralmente o goleiro é o último defensor, então o penúltimo é um jogador de linha.",posicionamento_taticas,medio
Explique: carrinho por trás é sempre falta?,"Não necessariamente, se tocar primeiro na bola sem atingir o adversário pode ser legal.",faltas_infracoes,medio
Como funciona o goleiro pode usar as mãos fora da área?,"Não, o goleiro só pode usar as mãos dentro de sua própria área de pênalti.",regras_basicas,facil
Explique: qual a diferença entre falta direta e indireta?,Falta direta permite cobrar direto ao gol. Indireta requer que outro jogador toque na bola antes do gol.,faltas_infracoes,medio
Me explica: o que é cartão vermelho?,"De acordo com as regras da FIFA: Cartão vermelho resulta na expulsão imediata do jogador, que não pode ser substituído.",regras_basicas,facil
O que é vantagem?,Vantagem é quando o árbitro deixa o jogo seguir após falta porque o time prejudicado está em situação favorável.,regras_avancadas,dificil
Como funciona qual o tempo de duração de uma partida?,De acordo com as regras da FIFA: Uma partida oficial tem 90 minutos divididos em dois tempos de 45 minutos cada.,regras_basicas,facil
Pode trocar goleiro antes da disputa?,"Sim, se houver substituições disponíveis, pode trocar o goleiro antes da disputa começar.",penaltis_finalizacoes,medio
O que é interferir no jogo?,"Interferir é tocar na bola, atrapalhar adversário ou tirar vantagem da posição irregular.",posicionamento_taticas,medio
E se um jogador se machuca e não há substituições?,O time continua com menos jogadores. Mínimo de 7 jogadores para continuar.,situacoes_especiais,medio
O que é cartão vermelho no futebol?,"Cartão vermelho resulta na expulsão imediata do jogador, que não pode ser substituído.",regras_basicas,facil
Pode estar impedido sem participar da jogada?,"Não, apenas estar em posição irregular não é falta, precisa interferir no jogo.",posicionamento_taticas,medio
Me fala sobre: quantos passos o goleiro pode dar?,"O goleiro pode dar quantos passos quiser, mas só pode segurar a bola por 6 segundos.",regras_avancadas,dificil
Qual a regra sobre o que é escanteio?,Escanteio é cobrado quando a bola sai pela linha de fundo após ser tocada por um defensor.,regras_basicas,facil
Capitão tem privilégios especiais?,Capitão pode dialogar com árbitro mas não tem autoridade para contestar decisões.,situacoes_especiais,medio
Goleiro pode cobrar pênalti?,"Sim, goleiro pode cobrar pênalti tanto durante o jogo quanto na disputa.",penaltis_finalizacoes,medio
O que é cartão vermelho no futebol?,"Cartão vermelho resulta na expulsão imediata do jogador, que não pode ser substituído.",regras_basicas,facil
O que acontece se a bola estoura?,O jogo é interrompido e reiniciado com bola ao chão no local onde a bola original estava.,situacoes_especiais,medio
Como funciona quantas substituições são permitidas?,A regra estabelece que: São permitidas até 5 substituições em partidas oficiais (regra atual da FIFA).,regras_basicas,facil
O que é jogo perigoso?,"Jogo perigoso é uma ação que pode causar lesão ao adversário, mesmo sem contato físico.",faltas_infracoes,medio
Quando não há impedimento?,"Não há impedimento em lateral, escanteio, tiro de meta, no próprio campo ou se receber de adversário.",posicionamento_taticas,medio
O que é bola ao chão?,"Forma de reiniciar o jogo após interrupção sem falta, devolvida ao time que tinha posse.",situacoes_especiais,medio
O que acontece se a bola estoura?,O jogo é interrompido e reiniciado com bola ao chão no local onde a bola original estava.,situacoes_especiais,medio
Quem pode cobrar na disputa?,Apenas os 11 jogadores que terminaram o jogo podem cobrar na disputa de pênaltis.,penaltis_finalizacoes,medio
Pode devolver bola para goleiro no reinício?,"Sim, na bola ao chão pode devolver para o goleiro adversário por fair play.",situacoes_especiais,medio
Me explica: o que é tiro de meta?,Tiro de meta é cobrado pelo goleiro quando a bola sai pela linha de fundo tocada por um atacante.,regras_basicas,facil
Me explica: o que é tiro de meta?,De acordo com as regras da FIFA: Tiro de meta é cobrado pelo goleiro quando a bola sai pela linha de fundo tocada por um atacante.,regras_basicas,facil
Me fala sobre: goleiro pode segurar a bola quanto tempo?,Goleiro pode segurar a bola por no máximo 6 segundos antes de liberá-la.,regras_avancadas,dificil
Como funciona o VAR?,"VAR (Video Assistant Referee) revisa lances de gol, pênalti, cartão vermelho direto e confusão de identidade.",regras_avancadas,dificil
Me fala sobre: o que é vantagem?,Vantagem é quando o árbitro deixa o jogo seguir após falta porque o time prejudicado está em situação favorável.,regras_avancadas,dificil
Pode protestar decisão do árbitro?,"Não, protestar de forma desrespeitosa pode resultar em cartão amarelo ou vermelho.",situacoes_especiais,medio
Goleiro conta na linha de impedimento?,"Sim, geralmente o goleiro é o último defensor, então o penúltimo é um jogador de linha.",posicionamento_taticas,medio
O que acontece se invasão de campo?,O árbitro para o jogo até a invasão ser resolvida. Pode cancelar partida se grave.,situacoes_especiais,medio
Quem pode cobrar falta?,Qualquer jogador do time que sofreu a falta pode cobrar o tiro livre.,regras_avancadas,dificil
Capitão tem privilégios especiais?,Capitão pode dialogar com árbitro mas não tem autoridade para contestar decisões.,situacoes_especiais,medio
Como funciona o que é tiro de meta?,A regra estabelece que: Tiro de meta é cobrado pelo goleiro quando a bola sai pela linha de fundo tocada por um atacante.,regras_basicas,facil
Como funciona o que acontece com dois cartões amarelos?,A regra estabelece que: Dois cartões amarelos resultam em um cartão vermelho e expulsão do jogador.,regras_basicas,facil
Quando é marcada falta de mão?,Falta de mão é marcada quando um jogador toca intencionalmente a bola com a mão ou braço.,faltas_infracoes,medio
Capitão tem privilégios especiais?,Capitão pode dialogar com árbitro mas não tem autoridade para contestar decisões.,situacoes_especiais,medio
Pode trocar goleiro antes da disputa?,"Sim, se houver substituições disponíveis, pode trocar o goleiro antes da disputa começar.",penaltis_finalizacoes,medio
Me fala sobre: goleiro pode segurar a bola quanto tempo?,Goleiro pode segurar a bola por no máximo 6 segundos antes de liberá-la.,regras_avancadas,dificil
Quando é expulsão direta?,"Expulsão direta ocorre por violência excessiva, cuspir, linguagem ofensiva ou impedir gol com a mão.",faltas_infracoes,medio
Qual a regra sobre quando é marcado pênalti?,A regra estabelece que: Pênalti é marcado quando há uma falta dentro da área de pênalti que impede uma oportunidade clara de gol.,regras_basicas,facil
Me fala sobre: como funciona o var?,"VAR (Video Assistant Referee) revisa lances de gol, pênalti, cartão vermelho direto e confusão de identidade.",regras_avancadas,dificil
Como funciona como é cobrado o lateral?,"A regra estabelece que: O lateral é cobrado com as duas mãos sobre a cabeça, com os dois pés no chão ou fora da linha.",regras_basicas,facil
O que acontece se a bola estoura?,O jogo é interrompido e reiniciado com bola ao chão no local onde a bola original estava.,situacoes_especiais,medio
Quais as dimensões oficiais do campo?,O campo deve ter entre 100-110m de comprimento e 64-75m de largura para jogos internacionais.,equipamentos_campo,facil
Pode jogar sem caneleira?,"Não, caneleira é equipamento obrigatório de proteção para todos os jogadores.",equipamentos_campo,facil
Me fala sobre: goleiro pode segurar a bola quanto tempo?,Goleiro pode segurar a bola por no máximo 6 segundos antes de liberá-la.,regras_avancadas,dificil
Como funciona disputa de pênaltis?,"Cada time cobra 5 pênaltis alternadamente. Se empatar, continua alternado até desempate.",penaltis_finalizacoes,medio
Quem pode cobrar na disputa?,Apenas os 11 jogadores que terminaram o jogo podem cobrar na disputa de pênaltis.,penaltis_finalizacoes,medio
O que é cartão vermelho no futebol?,"Cartão vermelho resulta na expulsão imediata do jogador, que não pode ser substituído.",regras_basicas,facil
O que é a regra do impedimento?,Um jogador está impedido se estiver mais próximo da linha de gol que a bola e o penúltimo adversário quando a bola é jogada.,posicionamento_taticas,medio
Me fala sobre: quantos passos o goleiro pode dar?,"O goleiro pode dar quantos passos quiser, mas só pode segurar a bola por 6 segundos.",regras_avancadas,dificil
Me fala sobre: precisa avisar cobrança rápida?,"Não, cobranças rápidas são permitidas desde que a bola esteja no local correto.",regras_avancadas,dificil
Me fala sobre: o que é a regra do gol de ouro?,Gol de ouro era uma regra antiga onde o primeiro gol na prorrogação encerrava a partida. Foi abolida.,regras_avancadas,dificil
Explique: o que é simulação?,"Simulação é fingir ter sofrido falta para enganar o árbitro, passível de cartão amarelo.",faltas_infracoes,medio
Goleiro conta na linha de impedimento?,"Sim, geralmente o goleiro é o último defensor, então o penúltimo é um jogador de linha.",posicionamento_taticas,medio
Quando não há impedimento?,"Não há impedimento em lateral, escanteio, tiro de meta, no próprio campo ou se receber de adversário.",posicionamento_taticas,medio
Quando é marcada falta de mão?,Falta de mão é marcada quando um jogador toca intencionalmente a bola com a mão ou braço.,faltas_infracoes,medio
Explique: o que é simulação?,"Simulação é fingir ter sofrido falta para enganar o árbitro, passível de cartão amarelo.",faltas_infracoes,medio
Quais as dimensões oficiais do campo?,O campo deve ter entre 100-110m de comprimento e 64-75m de largura para jogos internacionais.,equipamentos_campo,facil
Pode protestar decisão do árbitro?,"Não, protestar de forma desrespeitosa pode resultar em cartão amarelo ou vermelho.",situacoes_especiais,medio
Quem pode cobrar na disputa?,Apenas os 11 jogadores que terminaram o jogo podem cobrar na disputa de pênaltis.,penaltis_finalizacoes,medio
Pode trocar goleiro antes da disputa?,"Sim, se houver substituições disponíveis, pode trocar o goleiro antes da disputa começar.",penaltis_finalizacoes,medio
De onde é cobrado o pênalti?,"O pênalti é cobrado do ponto de pênalti, localizado a 11 metros (12 jardas) da linha de gol.",equipamentos_campo,facil
Quantas substituições são permitidas?,De acordo com as regras da FIFA: São permitidas até 5 substituições em partidas oficiais (regra atual da FIFA).,regras_basicas,facil
O que é tiro livre direto?,Tiro livre direto permite chutar direto ao gol após faltas com contato físico.,regras_avancadas,dificil
Como funciona disputa de pênaltis?,"Cada time cobra 5 pênaltis alternadamente. Se empatar, continua alternado até desempate.",penaltis_finalizacoes,medio
O que é cartão amarelo no futebol?,De acordo com as regras da FIFA: Cartão amarelo é uma advertência dada pelo árbitro por conduta antidesportiva ou falta tática.,regras_basicas,facil
Quem pode cobrar falta?,Qualquer jogador do time que sofreu a falta pode cobrar o tiro livre.,regras_avancadas,dificil
O que caracteriza uma falta?,"Falta é qualquer infração às regras como empurrar, segurar, derrubar ou tocar a bola com a mão.",faltas_infracoes,medio
Goleiro conta na linha de impedimento?,"Sim, geralmente o goleiro é o último defensor, então o penúltimo é um jogador de linha.",posicionamento_taticas,medio
O que é vantagem?,Vantagem é quando o árbitro deixa o jogo seguir após falta porque o time prejudicado está em situação favorável.,regras_avancadas,dificil
O que é tiro livre direto?,Tiro livre direto permite chutar direto ao gol após faltas com contato físico.,regras_avancadas,dificil
O que acontece se a bola estoura?,O jogo é interrompido e reiniciado com bola ao chão no local onde a bola original estava.,situacoes_especiais,medio
O que caracteriza uma falta?,"Falta é qualquer infração às regras como empurrar, segurar, derrubar ou tocar a bola com a mão.",faltas_infracoes,medio
Goleiro pode cobrar pênalti?,"Sim, goleiro pode cobrar pênalti tanto durante o jogo quanto na disputa.",penaltis_finalizacoes,medio
Me fala sobre: quem pode cobrar falta?,Qualquer jogador do time que sofreu a falta pode cobrar o tiro livre.,regras_avancadas,dificil
Quem pode cobrar falta?,Qualquer jogador do time que sofreu a falta pode cobrar o tiro livre.,regras_avancadas,dificil
Explique: carrinho por trás é sempre falta?,"Não necessariamente, se tocar primeiro na bola sem atingir o adversário pode ser legal.",faltas_infracoes,medio
Me explica: pode haver gol direto de lateral?,"Não, não é possível fazer gol diretamente de um arremesso lateral.",regras_basicas,facil
Pode haver gol direto de lateral no futebol?,"A regra estabelece que: Não, não é possível fazer gol diretamente de um arremesso lateral.",regras_basicas,facil
Pode trocar goleiro antes da disputa?,"Sim, se houver substituições disponíveis, pode trocar o goleiro antes da disputa começar.",penaltis_finalizacoes,medio
Goleiro pode cobrar pênalti?,"Sim, goleiro pode cobrar pênalti tanto durante o jogo quanto na disputa.",penaltis_finalizacoes,medio
O que é a regra do impedimento?,Um jogador está impedido se estiver mais próximo da linha de gol que a bola e o penúltimo adversário quando a bola é jogada.,posicionamento_taticas,medio
Quem pode cobrar na disputa?,Apenas os 11 jogadores que terminaram o jogo podem cobrar na disputa de pênaltis.,penaltis_finalizacoes,medio
O que é cartão vermelho no futebol?,"A regra estabelece que: Cartão vermelho resulta na expulsão imediata do jogador, que não pode ser substituído.",regras_basicas,facil
Como funciona disputa de pênaltis?,"Cada time cobra 5 pênaltis alternadamente. Se empatar, continua alternado até desempate.",penaltis_finalizacoes,medio
Goleiro conta na linha de impedimento?,"Sim, geralmente o goleiro é o último defensor, então o penúltimo é um jogador de linha.",posicionamento_taticas,medio
Pode estar impedido sem participar da jogada?,"Não, apenas estar em posição irregular não é falta, precisa interferir no jogo.",posicionamento_taticas,medio
O que é falta por trás?,"Falta por trás ocorre quando um jogador atinge o adversário pelas costas, geralmente resultando em cartão.",faltas_infracoes,medio
O que é cartão vermelho no futebol?,"De acordo com as regras da FIFA: Cartão vermelho resulta na expulsão imediata do jogador, que não pode ser substituído.",regras_basicas,facil
Como funciona disputa de pênaltis?,"Cada time cobra 5 pênaltis alternadamente. Se empatar, continua alternado até desempate.",penaltis_finalizacoes,medio
O que é tiro de meta no futebol?,De acordo com as regras da FIFA: Tiro de meta é cobrado pelo goleiro quando a bola sai pela linha de fundo tocada por um atacante.,regras_basicas,facil
Como é cobrado o lateral?,"O lateral é cobrado com as duas mãos sobre a cabeça, com os dois pés no chão ou fora da linha.",regras_basicas,facil
O que é vantagem?,Vantagem é quando o árbitro deixa o jogo seguir após falta porque o time prejudicado está em situação favorável.,regras_avancadas,dificil
Quem pode cobrar na disputa?,Apenas os 11 jogadores que terminaram o jogo podem cobrar na disputa de pênaltis.,penaltis_finalizacoes,medio
Explique: quando é expulsão direta?,"Expulsão direta ocorre por violência excessiva, cuspir, linguagem ofensiva ou impedir gol com a mão.",faltas_infracoes,medio
Explique: o que caracteriza uma falta?,"Falta é qualquer infração às regras como empurrar, segurar, derrubar ou tocar a bola com a mão.",faltas_infracoes,medio
Explique: carrinho por trás é sempre falta?,"Não necessariamente, se tocar primeiro na bola sem atingir o adversário pode ser legal.",faltas_infracoes,medio
O que é interferir no jogo?,"Interferir é tocar na bola, atrapalhar adversário ou tirar vantagem da posição irregular.",posicionamento_taticas,medio
Goleiro pode cobrar pênalti?,"Sim, goleiro pode cobrar pênalti tanto durante o jogo quanto na disputa.",penaltis_finalizacoes,medio
Qual a regra sobre o que é cartão amarelo?,Cartão amarelo é uma advertência dada pelo árbitro por conduta antidesportiva ou falta tática.,regras_basicas,facil
Qual a circunferência da bola?,A bola deve ter entre 68-70cm de circunferência e pesar 410-450g.,equipamentos_campo,facil
Quantos jogadores tem cada time em campo?,"De acordo com as regras da FIFA: Cada time tem 11 jogadores em campo, incluindo o goleiro.",regras_basicas,facil
Me explica: qual o tempo de duração de uma partida?,Uma partida oficial tem 90 minutos divididos em dois tempos de 45 minutos cada.,regras_basicas,facil
Qual a circunferência da bola?,A bola deve ter entre 68-70cm de circunferência e pesar 410-450g.,equipamentos_campo,facil
O que é bola ao chão?,"Forma de reiniciar o jogo após interrupção sem falta, devolvida ao time que tinha posse.",situacoes_especiais,medio
O que acontece se goleiro se machucar na disputa?,"Se não houver substituições disponíveis, um jogador de linha deve ir para o gol.",penaltis_finalizacoes,medio
Quando é marcado pênalti?,De acordo com as regras da FIFA: Pênalti é marcado quando há uma falta dentro da área de pênalti que impede uma oportunidade clara de gol.,regras_basicas,facil
Pode devolver bola para goleiro no reinício?,"Sim, na bola ao chão pode devolver para o goleiro adversário por fair play.",situacoes_especiais,medio
Quando não há impedimento?,"Não há impedimento em lateral, escanteio, tiro de meta, no próprio campo ou se receber de adversário.",posicionamento_taticas,medio
Quando não há impedimento?,"Não há impedimento em lateral, escanteio, tiro de meta, no próprio campo ou se receber de adversário.",posicionamento_taticas,medio
Quais as dimensões oficiais do campo?,O campo deve ter entre 100-110m de comprimento e 64-75m de largura para jogos internacionais.,equipamentos_campo,facil
O que é a regra do impedimento?,Um jogador está impedido se estiver mais próximo da linha de gol que a bola e o penúltimo adversário quando a bola é jogada.,posicionamento_taticas,medio
Me fala sobre: precisa avisar cobrança rápida?,"Não, cobranças rápidas são permitidas desde que a bola esteja no local correto.",regras_avancadas,dificil
Como funciona disputa de pênaltis?,"Cada time cobra 5 pênaltis alternadamente. Se empatar, continua alternado até desempate.",penaltis_finalizacoes,medio
Pode haver gol direto de lateral no futebol?,"Não, não é possível fazer gol diretamente de um arremesso lateral.",regras_basicas,facil
Pode estar impedido sem participar da jogada?,"Não, apenas estar em posição irregular não é falta, precisa interferir no jogo.",posicionamento_taticas,medio
Pode cobrar pênalti no meio?,"Sim, cavadinha ou paradinhas são permitidas desde que o movimento seja contínuo.",regras_avancadas,dificil
Explique: o que é simulação?,"Simulação é fingir ter sofrido falta para enganar o árbitro, passível de cartão amarelo.",faltas_infracoes,medio
Que equipamento é obrigatório?,"Camisa, calção, meias, caneleiras e chuteiras são obrigatórios. Goleiro deve usar cores diferentes.",equipamentos_campo,facil
Qual a regra sobre qual o tempo de duração de uma partida?,A regra estabelece que: Uma partida oficial tem 90 minutos divididos em dois tempos de 45 minutos cada.,regras_basicas,facil
Me fala sobre: o que é tiro livre direto?,Tiro livre direto permite chutar direto ao gol após faltas com contato físico.,regras_avancadas,dificil
Pode jogar sem caneleira?,"Não, caneleira é equipamento obrigatório de proteção para todos os jogadores.",equipamentos_campo,facil
Quais as dimensões oficiais do campo?,O campo deve ter entre 100-110m de comprimento e 64-75m de largura para jogos internacionais.,equipamentos_campo,facil
O que acontece se a bola estoura?,O jogo é interrompido e reiniciado com bola ao chão no local onde a bola original estava.,situacoes_especiais,medio
De onde é cobrado o pênalti?,"O pênalti é cobrado do ponto de pênalti, localizado a 11 metros (12 jardas) da linha de gol.",equipamentos_campo,facil
O que acontece se a bola estoura?,O jogo é interrompido e reiniciado com bola ao chão no local onde a bola original estava.,situacoes_especiais,medio
Me explica: o que acontece com dois cartões amarelos?,De acordo com as regras da FIFA: Dois cartões amarelos resultam em um cartão vermelho e expulsão do jogador.,regras_basicas,facil
Me fala sobre: quanto tempo pode durar acréscimos?,"Não há limite fixo. O árbitro determina baseado em paradas, lesões e substituições.",regras_avancadas,dificil
Pode devolver bola para goleiro no reinício?,"Sim, na bola ao chão pode devolver para o goleiro adversário por fair play.",situacoes_especiais,medio
Explique: o que caracteriza uma falta?,"Falta é qualquer infração às regras como empurrar, segurar, derrubar ou tocar a bola com a mão.",faltas_infracoes,medio
Como funciona o que é linha lateral?,"A regra estabelece que: Linha lateral é a linha que delimita os lados mais longos do campo. Quando a bola sai, é cobrado lateral.",regras_basicas,facil
Quando não há impedimento?,"Não há impedimento em lateral, escanteio, tiro de meta, no próprio campo ou se receber de adversário.",posicionamento_taticas,medio
Pode jogar sem caneleira?,"Não, caneleira é equipamento obrigatório de proteção para todos os jogadores.",equipamentos_campo,facil
Explique: o que é simulação?,"Simulação é fingir ter sofrido falta para enganar o árbitro, passível de cartão amarelo.",faltas_infracoes,medio
Me fala sobre: quanto tempo pode durar acréscimos?,"Não há limite fixo. O árbitro determina baseado em paradas, lesões e substituições.",regras_avancadas,dificil
Como é cobrado o lateral?,"O lateral é cobrado com as duas mãos sobre a cabeça, com os dois pés no chão ou fora da linha.",regras_basicas,facil
Qual a circunferência da bola?,A bola deve ter entre 68-70cm de circunferência e pesar 410-450g.,equipamentos_campo,facil
Quando é marcado pênalti no futebol?,De acordo com as regras da FIFA: Pênalti é marcado quando há uma falta dentro da área de pênalti que impede uma oportunidade clara de gol.,regras_basicas,facil
O que acontece se invasão de campo?,O árbitro para o jogo até a invasão ser resolvida. Pode cancelar partida se grave.,situacoes_especiais,medio
Como funciona o que é impedimento?,De acordo com as regras da FIFA: Impedimento ocorre quando um jogador está mais próximo da linha de fundo adversária do que a bola e o penúltimo adversário no momento do passe.,regras_basicas,facil
De onde é cobrado o pênalti?,"O pênalti é cobrado do ponto de pênalti, localizado a 11 metros (12 jardas) da linha de gol.",equipamentos_campo,facil
Qual a circunferência da bola?,A bola deve ter entre 68-70cm de circunferência e pesar 410-450g.,equipamentos_campo,facil
O que é falta por trás?,"Falta por trás ocorre quando um jogador atinge o adversário pelas costas, geralmente resultando em cartão.",faltas_infracoes,medio
O que acontece se goleiro se machucar na disputa?,"Se não houver substituições disponíveis, um jogador de linha deve ir para o gol.",penaltis_finalizacoes,medio
Como funciona quando é marcado pênalti?,Pênalti é marcado quando há uma falta dentro da área de pênalti que impede uma oportunidade clara de gol.,regras_basicas,facil
Como funciona o que é escanteio?,A regra estabelece que: Escanteio é cobrado quando a bola sai pela linha de fundo após ser tocada por um defensor.,regras_basicas,facil
Me explica: o goleiro pode usar as mãos fora da área?,"A regra estabelece que: Não, o goleiro só pode usar as mãos dentro de sua própria área de pênalti.",regras_basicas,facil
Explique: o que é jogo perigoso?,"Jogo perigoso é uma ação que pode causar lesão ao adversário, mesmo sem contato físico.",faltas_infracoes,medio
Como funciona como é cobrado o lateral?,"A regra estabelece que: O lateral é cobrado com as duas mãos sobre a cabeça, com os dois pés no chão ou fora da linha.",regras_basicas,facil
Quando é marcada falta de mão?,Falta de mão é marcada quando um jogador toca intencionalmente a bola com a mão ou braço.,faltas_infracoes,medio
Pode jogar sem caneleira?,"Não, caneleira é equipamento obrigatório de proteção para todos os jogadores.",equipamentos_campo,facil
Como funciona o que é cartão amarelo?,Cartão amarelo é uma advertência dada pelo árbitro por conduta antidesportiva ou falta tática.,regras_basicas,facil
O que é interferir no jogo?,"Interferir é tocar na bola, atrapalhar adversário ou tirar vantagem da posição irregular.",posicionamento_taticas,medio
O que é interferir no jogo?,"Interferir é tocar na bola, atrapalhar adversário ou tirar vantagem da posição irregular.",posicionamento_taticas,medio
E se um jogador se machuca e não há substituições?,O time continua com menos jogadores. Mínimo de 7 jogadores para continuar.,situacoes_especiais,medio
O que é linha de impedimento?,"Linha imaginária formada pelo penúltimo defensor, que determina posições de impedimento.",posicionamento_taticas,medio
